Model,CountGoodReview,CountReview,AvgAcc
"ASUS ZenBook 13 Ultra Slim Laptop, 13.3” FHD WideView, 8th-Gen Intel Core i7-8565U CPU, 16GB RAM, 512GB PCIe SSD, Backlit KB, NumberPad, Military Grade, TPM, Windows 10 Pro, UX333FA-AB77, Royal Blue",9,10,0.837864935388889
MeFee Laptop Stand Adjustable Laptop Computer Stand Multi-Angle Stand Phone Stand Portable Foldable Laptop Riser Notebook Holder Stand Compatible for 9 to 15.6&rdquo; Laptops Black,9,10,0.867515150955556
"Acer Aspire 5 Slim Laptop 15.6 Full HD IPS Display AMD Ryzen 3 3200U, Vega , Silver, 4-10.99 inches",8,10,0.8785268503125
"Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 81HY0000US, Blizzard White",7,10,0.890658441785714
"LG gram Laptop - 13.3"" Full HD Display, Intel 8th Gen Core i5, 8GB RAM, 256GB SSD, 24.5 Hour Battery, 13Z990-U.AAW5U1 (2019), White",7,10,0.8787740017
"Asus Laptop E406 Thin & Light Laptop, 14"" FHD, Intel Pentium Silver N5000 Processor, 4GB RAM, 128GB eMMC Storage, Wi-Fi 5, Fingerprint Reader, Windows 10, E406MA-DH21, Star Gray",7,10,0.822395656228571
"ASUS VivoBook 15 Thin and Light Laptop, 15.6” FHD, Intel Core i3-8145U CPU, 8GB RAM, 128GB SSD, Windows 10 in S Mode, F512FA-AB34, Slate Gray",6,10,0.8999724548
"Lenovo Legion Y520 Gaming Laptop - i7-7700HQ, 16GB RAM, 256GB PCIe SSD, NVIDIA GTX 1060 (6GB), FHD IPS 1920x1080",6,10,0.927905037416667
"ASUS ZenScreen MB16AC 15.6"" Full HD IPS USB Type-C Portable Eye Care Monitor,Black",6,10,0.883939062516667
"ASUS Chromebook C202SA-YS02 11.6"" Ruggedized and Water Resistant Design with 180 Degree (Intel Celeron 4 GB, 16GB eMMC, Dark Blue, Silver)",6,10,0.916305574716667
AmazonBasics USB 2.0 Cable - A-Male to Mini-B - 6 Feet (1.8 Meters),6,10,0.818893471283333
"Acer Aspire 5 Slim Laptop, 15.6"" Full HD IPS Display, 8th Gen Intel Core i5-8265U, NVIDIA GeForce MX250, 8GB DDR4, 512GB PCIe NVMe SSD, Windows 10 Home, A515-54G-5928",6,10,0.797932296233333
"ASUS ZenBook 13 Ultra-Slim Laptop- 13.3” Full HD Wideview, 8th Gen Intel Core I5-8265U, 8GB LPDDR3, 512GB PCIe SSD, Backlit KB, Fingerprint, Windows 10- UX331FA-AS51 Slate Grey",5,10,0.9421724087
"ASUS ZenBook S UX391UA-XB71-R Ultra-thin and light 13.3-inch Full HD Laptop, Intel Core i7-8550U, 8GB RAM, 256GB M.2 SSD, Windows 10 Pro, FP Sensor, Thunderbolt, Burgundy Red",5,10,0.74750592014
"ASUS TUF (2019) Gaming Laptop, 15.6"" 120Hz FHD IPS-Type, AMD Ryzen 7 R7-3750H, GeForce GTX 1660 Ti, 16GB DDR4, 256GB PCIe SSD + 1TB HDD, Gigabit Wi-Fi 5, RGB KB, Windows 10 Home, TUF505DU-EB74",5,10,0.8810567979
"HP Newest 14"" Hd Premium Business Laptop Pc | 10Th Gen Intel Quad-Core I5-1035G1 Up To 3.6Ghz | 8Gb Ram | 256Gb Ssd | Wifi | Hdmi | Card Reader | Bluetooth | Windows 10 | Silver",5,10,0.8539279332
"Lenovo Flex 14 2-in-1 Convertible Laptop, 14 Inch FHD Touchscreen Display, AMD Ryzen 5 3500U Processor, 12GB DDR4 RAM, 256GB NVMe SSD, Windows 10, 81SS000DUS, Black, Pen Included",4,10,0.9362066288
"Lenovo Ideapad L340 Gaming Laptop, 15.6 Inch FHD (1920 X 1080) IPS Display, Intel Core i5-9300H Processor, 8GB DDR4 RAM, 512GB Nvme SSD, NVIDIA GeForce GTX 1650, Windows 10, 81LK00HDUS, Black",4,10,0.877889193775
"Asus TUF Gaming Laptop FX504 15.6"" Full HD IPS-Level, 8th Gen Intel Core i5-8300H (Up to 3.9GHz), GeForce GTX 1050, 8GB DDR4 2666MHz, 256GB M.2 SSD, Gigabit WiFi, Windows 10 - FX504GD-NH51",3,10,0.727757158166667
,,,
